text,sentiment,negative_reason
"@davidakin @erinotoole Amazing that this topic of minor consequence, obviously being used as deflection by the Libs, is receiving such major media attention.  Also amazing that OToole isn’t putting it to bed quickly.",positive,
Trudeau faces pressure in final debate before Canadian election  https://t.co/RB4aTpgdJG via @AJEnglish  Recent polls show O’Toole’s party has a chance of winning the election and ending six years of Liberal Party rule,positive,
Today Suresh Arangath cast his vote 🗳 for real change and hope for Canadians! Join him and ride the orange wave to a better future! 🧡  #ndp #NDP2021 #elxn44 #election #vote #teamjagmeet #change  https://t.co/7RUUzqSk3l,positive,
"@MaximeBernier So, is he now advocating insurrection? His words and actions should like be subjected to scrutiny by law enforcement official but best to reserve this until after the election. This is anti-Canada.",negative,others
"Canadians really got caught up in the Russia/Trump election meddling, but look at this kind of meddling as ok.  Americans always meddle in our elections, but it is ok, cuz Obama is cool. #Elxn44",negative,scandal
@Oceanworldfree Was neutral on Canadian election but now starting to really like O’Toole is this is truly what he thinks.,positive,
Not sure how it’s gonna go but I’d lean a conservative minority. Either major party isn’t getting a majority however I like the chances of Trudeau getting booted at PM.,positive,
I’m personally pretty sad our federal NDP friends never seemed to take our #ableg government seriously. We had a great plan. Kenney tore it apart. To say Trudeau didn’t do enough is fair. To say he didn’t take the challenge seriously is not.,negative,others
@1MikeMorris God help us if otoole wins. Canadians won't know what hit them. American Postmedia has to go. We won't have a country left with the Dominionist conservatives.,negative,others
"Its still early in the debate, but it looks like most of the party leaders might be going after Trudeau tonight! #cdnpoli #elxn44",positive,
@mohamadfakih8 @JustinTrudeau Beautiful! I support the Liberal leader too! He is there for Canadians; now we need to be there for him too this upcoming election! ♥️🇨🇦🌹,positive,
"I’m feeling a bit nervous about the Canadian federal election. Tomorrow is the big day and yes, I care.  I need to hear from my Canadian friends to ease my fears. Where are you?? Team Trudeau here.",positive,
"This is what leadership looks like. Heads of every major political party sending a vaccination message to the public, together, IN THE MIDDLE OF AN ELECTION. Proud Canadian moment here. (Hope this is a future heritage moment)",positive,
@AOC Canadians and the NDP need your support in our Snap Election that Lib Trudeau called during the third wave of the covid-19 pandemic.   Please do your neighbors to the north a solid and show your support for @NDP @theJagmeetSingh,positive,
@JustinTrudeau We did support you every election and will always support you . Thanks for whatever you did for Canadians and small business in this pandemic,positive,
"Every Canadian should read this, As citizens we demand better of our elected leaders. Thank you #jodywilson. If you vote Liberal this election you are aiding and rewarding the behaviour. Tip of the iceberg. #cdnpoli",positive,
"@ThesisPi @erinotoole YES,YES,YES, you have that exactly right. A vote for otoole is saying you want to be just like Alberta !! But you certainly won't like it ......I don't and I grew up Albertan...",positive,
"Fellow Canadians, on the topic of the upcoming federal election, I have a pressing question:  Is it just me or does Erin O'Toole look like Hitchcock from Brooklyn 99? Yes or yes?  https://t.co/ENMnnTcPd9",positive,
"@MarcDufresne4 @alissagolob I agree but PPC will dilute the Cons votes and put Trudeau back in as PM.  PPC can’t win this election.  Let’s get rid of Trudeau, then work on finding room in Canada for Max!",positive,
@MariekeWalsh @mark_rendell Since when do conservatives ever follow through on promises. They only and only care about the wealthy. Maybe be more critical of them like you are with Trudeau.,positive,
"I'm pretty certain by the end of the debates tomorrow night, Canadians will have a good understanding on why @JustinTrudeau called the election.  Wait for it. #cdnpoli #Elxn44",positive,
"@DavidTaylorNYC @theJagmeetSingh @TheoMoudakis Justin had a choice, he choose an election and now we all might get stuck with a conservative government because he cares more about power than working with the NDP in the best interests of Canadians.",positive,
"@MichelBasquiat3 @JohnSnowCone @theJagmeetSingh As if one tweet would encompass the many reasons I have for not voting for Trudeau, and I have just as many not to vote for the Conservatives. Best of luck to you.",positive,
CPC ers don't hate Trudeau.  They love him so much they are voting for Red Erin who has the exact same agenda and vax pass as Trudeau.,positive,
Sending so much love and support to non-conservatives in the Canadian federal election #elxn44 and the #yyc municipal election. You got this ❤️⚡️,positive,
@Motomom128302 You nailed  it! I do not like OToole either but he has good people behind him.  I wish he did ditch  Sloan though,positive,
Better than nothing is not good enough. We deserve better! #NDP #NDP2021 #FederalElection #FederalElection2021 #MoreThanTwoParties #Election2021 #CanadianElection #FedElxn #Elxn44 #VoteNDP #ReadyForBetter,positive,
"In other news... People's Party hashtags continue to trend strong on Canadian Twitter. I think the Conservatives are going to get a big surprise on Election Day along with the mainstream media. This is the big story to watch, people. #Elxn44 #CDNpoli",positive,
Marek wins the election. He was far too kind to the leaders for not answering his question. #cdnpoli,positive,
It doesn’t matter why the election was called. Minority governments have early elections. It has been called. So vote for the party that will lead Canada best. #Elxn44 #VoteLiberal,positive,
@DDogterom @Mags_0618 @comeragewithme I don't want Otoole as PM anymore than I want Trudeau as PM. Neither are options I could stomach supporting. The only party with a platform in line with my personal values is #VotePPC.,positive,
I love Trudeau acting like he hasn’t been PM for the last six years #debatdeschefs #Elxn44,negative,others
@RGBAtlantica @cochraf @PaulHoward_IMIT @l_stone I agree with you 100%.  I don't agree with calling an election in 4th wave of a pandemic where you had support of the house and were able to continue to govern for Canadians.,negative,calling election early
How many jobs did the election create? Don’t cons love jobs?   #NeverVoteConservative and ps… PPC is conservative 😲,negative,others
"@shoe0nhead Canada is going through a Federal election right now. It’s nice having multiple choices.    But sometimes the majority vote getter doesn’t become the ruling party, so that’s a flaw; but still better than choice A or B only",positive,
"@xychelsea If Trudeau goes, Canada will get better. Trudeau told the USA day one that he would follow their lead and do whatever the US wants.  The man has no spin, or moral compass. Good luck with your Canada case. Election in a couple wee.",positive,
"Canadian students, this election really matters. The PPC looks like the only option that will lead to a different and excellent result: Freedom/Fairness/Respect/Responsibility  https://t.co/bPJpa1koko",positive,
